ID,Week,Block,Rep,Hatch,Box,Isolation,DaysIso,Maturation,Trials I,#I,TDur,AvDur,T1,1#I,1IDur,1#E,1EDur,T2,2#I,2IDur,2#E,2EDur,T3,3#I,3IDur,3#E,3EDur,#E,TDurE,AvDurE,I1,I2,I3,E1,E2,E3,I,E,IC,EC,F1 HATCH,F1 BOX,F2 HATCH,F2 BOX,F3 HATCH,F3 BOX,F#,Mated,Agg,Aggb,Unsuc Att,Ig F Att,No Att
14-B,3,14,B,15/11/2019,1,18/02/2020,14,03/03/2020,1,2,6,3,69,0,0,0,0,88,2,6,0,0,111,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,1,0,13/12/2019,5,-,-,-,-,1,1,0,0,0,0,0
14-C,3,14,C,15/11/2019,2,18/02/2020,14,03/03/2020,0,0,0,0,77,0,0,0,0,82,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13/12/2019,5,-,-,-,-,1,1,0,0,0,0,0
14-D,3,14,D,13/12/2019,5,25/02/2020,7,03/03/2020,0,0,0,0,77,0,0,0,0,88,0,0,2,6,109,0,0,1,3,3,9,3,0,0,0,0,1,1,0,11,0,2,15/11/2019,1,13/12/2019,6,15/11/2019,1,0,0,1,1,0,1,1
15-A,3,15,A,15/11/2019,1,18/02/2020,14,03/03/2020,0,0,0,0,59,0,0,0,0,102,0,0,0,0,105,0,0,2,13,2,13,4,0,0,0,0,0,1,0,1,0,1,15/11/2019,1,-,-,-,-,1,1,0,0,0,0,0
15-B,3,15,B,16/12/2019,3,18/02/2020,14,03/03/2020,2,4,73,18.3,59,0,0,0,0,86,1,19,0,0,116,3,54,1,6,1,6,2,0,1,1,0,0,1,11,1,2,1,15/11/2019,1,15/11/2019,2,13/12/2019,5,0,0,0,0,0,3,0
15-C,3,15,C,15/11/2019,2,18/02/2020,14,03/03/2020,2,2,28,14,64,1,22,0,0,102,0,0,0,0,116,1,6,3,54,3,54,18,1,0,1,0,0,1,101,1,2,1,15/11/2019,1,-,-,-,-,1,1,0,0,0,0,0
15-D,3,15,D,13/12/2019,5,18/02/2020,14,03/03/2020,1,2,13,6.5,64,0,0,1,22,86,0,0,1,19,105,2,13,0,0,2,41,14,0,0,1,1,1,0,1,110,1,2,06/12/2019,4,-,-,-,-,1,1,0,0,0,0,0
16-A,3,16,A,13/12/2019,6,18/02/2020,14,03/03/2020,1,1,14,14,55,1,14,0,0,89,0,0,0,0,117,0,0,2,55,2,55,18,1,0,0,0,0,1,100,1,1,1,06/12/2019,4,15/11/2019,1,-,-,2,1,0,0,1,0,0
16-B,3,16,B,15/11/2019,1,18/02/2020,14,03/03/2020,1,1,8,8,55,0,0,1,14,97,1,8,0,0,122,0,0,2,26,3,40,13,0,1,0,1,0,1,10,101,1,2,13/12/2019,6,-,-,-,-,1,1,0,0,0,0,0
16-C,3,16,C,15/11/2019,1,18/02/2020,14,03/03/2020,1,2,26,13,67,0,0,1,2,89,0,0,0,0,122,2,26,0,0,1,2,1,0,0,1,1,0,0,1,100,1,1,13/12/2019,5,-,-,-,-,1,1,0,0,0,0,0
16-D,3,16,D,13/12/2019,6,18/02/2020,14,03/03/2020,2,3,57,19,67,1,2,0,0,97,0,0,1,8,117,2,55,0,0,1,8,3,1,0,1,0,1,0,101,10,2,1,13/12/2019,5,-,-,-,-,1,1,0,0,0,0,0
17-A,3,17,A,13/12/2019,6,18/02/2020,14,03/03/2020,1,2,6,3,71,2,6,0,0,80,0,0,0,0,123,0,0,2,34,2,34,11,1,0,0,0,0,1,100,1,1,1,15/11/2019,1,13/12/2019,5,13/12/2019,6,0,0,1,1,0,2,0
17-B,3,17,B,15/11/2019,2,18/02/2020,14,03/03/2020,1,1,20,20,71,0,0,2,6,96,0,0,0,0,108,1,20,1,17,3,23,8,0,0,1,1,0,1,1,101,1,2,13/12/2019,5,13/12/2019,5,15/11/2019,1,0,0,1,1,0,0,2
17-C,3,17,C,06/12/2019,4,25/02/2020,7,03/03/2020,1,1,17,17,70,0,0,0,0,80,0,0,0,0,108,1,17,1,20,1,20,7,0,0,1,0,0,1,1,1,1,1,06/12/2019,4,13/12/2019,5,-,-,2,1,0,0,0,1,0
17-D,3,17,D,13/12/2019,5,18/02/2020,14,03/03/2020,1,2,34,17,70,0,0,0,0,96,0,0,0,0,123,2,34,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,13/12/2019,6,-,-,-,-,1,1,0,0,0,0,0
18-A,3,18,A,15/11/2019,2,25/02/2020,7,03/03/2020,2,2,20,10,75,0,0,0,0,99,1,19,1,6,121,1,1,1,4,2,10,3,0,1,1,0,1,1,11,11,2,2,13/12/2019,5,-,-,-,-,1,1,1,1,0,0,0
18-B,3,18,B,06/12/2019,4,25/02/2020,7,03/03/2020,0,0,0,0,75,0,0,0,0,79,0,0,1,12,120,0,0,1,2,2,14,5,0,0,0,0,1,1,0,11,0,2,15/11/2019,1,13/12/2019,6,13/12/2019,6,0,0,2,1,0,1,0
18-C,3,18,C,15/11/2019,1,18/02/2020,14,03/03/2020,2,2,8,4,68,0,0,1,9,99,1,6,1,19,120,1,2,0,0,2,28,9,0,1,1,1,1,0,11,110,2,2,15/11/2019,1,13/12/2019,6,15/11/2019,1,0,0,2,1,1,0,1
